name;description;image;type;symbol;bandit_occurence;cowboy_occurence
Derringer;{"Találat"} Ellenfeled bármely lap eldobásával elkerülheti ezt a "Találat"-t.;pics/derringer.png;action;SNAKE;0;1
Garling;{"Találat"} Az aktív szereplődön kívül minden játékban lévő szereplő egy "Találat" célpontjává válik.;pics/gatling.png;action;BARREL;0;1
Indiánok!;Az aktív szerelődön kívül minden szereplő sorsáról dönt a tulajdonosa: vagy eldob egy "Találat" kártyát, vagy a szereplője veszít egy életpontot.;pics/indians.png;action;HORSESHOE;1;1
Kés;{"Találat"};pics/knife.png;action;HORSESHOE;2;0
Kés;{"Találat"};pics/knife.png;action;SNAKE;1;0
Kocsma;Válaszd ki az egyik aktív szereplőt vagy saját hátvéd szereplődet! Életpontjainak száma 3-ra változik.;pics/inn.png;action;BARREL;0;1
Kulacs;{"Újratöltés"} Cseréld ki a saját vagy ellenfeled aktív és hátvéd szereplőjét! (Mozgasd át az aktívszereplő-jelzőt!);pics/canteen.png;action;BARREL;1;1
Kulacs;{"Újratöltés"} Cseréld ki a saját vagy ellenfeled aktív és hátvéd szereplőjét! (Mozgasd át az aktívszereplő-jelzőt!);pics/canteen.png;action;BARREL;0;3
Lopás;Húzz egy lapot ellenfeled kezéből vagy dobj el egy játékban lévő lapot! (Ellenfeled hátvédjétől nem lophatsz!);pics/steal.png;action;BARREL;1;0
Lopás;Húzz egy lapot ellenfeled kezéből vagy dobj el egy játékban lévő lapot! (Ellenfeled hátvédjétől nem lophatsz!);pics/steal.png;action;HORSESHOE;3;0
Nem Talált!;{"Kitérés"};pics/no_hit.png;action;HORSESHOE;1;0
Nem Talált!;{"Kitérés"};pics/no_hit.png;action;BARREL;1;1
Nem Talált!;{"Kitérés"};pics/no_hit.png;action;SNAKE;5;4
Párbaj;Ellenfeled eldobhat egy "Találat" kártyát, utána eldobhatsz te is egyet, majd ő stb. 1 életpontot veszít az első olyan játékos aktív szereplője, aki nem tudja vagy nem akarja ezt megtenni.;pics/duel.png;action;DYNAMITE;0;1
Párbaj;Ellenfeled eldobhat egy "Találat" kártyát, utána eldobhatsz te is egyet, majd ő stb. 1 életpontot veszít az első olyan játékos aktív szereplője, aki nem tudja vagy nem akarja ezt megtenni.;pics/duel.png;action;HORSESHOE;1;0
Postakocsi;Húzz 3 lapot, egyet dobj el, a másik kettőt tartsd meg!;pics/postcar.png;action;BARREL;1;2
Sör;Aktív és hátvéd szereplőd visszanyer 1-1 életpontot.;pics/beer.png;action;BARREL;1;0
Szatócsbolt;Fordíts fel 2-2 lapot mindkét pakliból (vagy négy lapot a közös pakliból, ha már csak egy pakli van)! Felváltva vegyétek megatokhoz a felfordított kártyákat! Te kezdesz.;pics/grocery.png;action;SNAKE;0;1
Szatócsbolt;Fordíts fel 2-2 lapot mindkét pakliból (vagy négy lapot a közös pakliból, ha már csak egy pakli van)! Felváltva vegyétek megatokhoz a felfordított kártyákat! Te kezdesz.;pics/grocery.png;action;HORSESHOE;1;0
Tanítónő;Vedd fel kezedbe az egyik, már asztalon lévő felszereléskártyát! (Az ellenfeled hátvédjétől nem lehet.);pics/teacher.png;action;HORSESHOE;0;1
Tanítónő;Vedd fel kezedbe az egyik, már asztalon lévő felszereléskártyát! (Az ellenfeled hátvédjétől nem lehet.);pics/teacher.png;action;HORSESHOE;0;1
Visszatámadás;{"Kitérés"} Ellenfeled aktív szereplője 1 "Találat" célpontjává válik.;pics/counter.png;action;HORSESHOE;0;1
